id,carat,cut,color,clarity,depth,table,x,y,z
0,0.33,Very Good,I,IF,62.0,58.0,4.44,4.46,2.76
1,1.21,Very Good,D,SI2,62.4,58.0,6.77,6.83,4.24
2,1.06,Very Good,D,SI1,59.3,60.0,6.64,6.71,3.96
3,0.36,Ideal,E,VVS1,61.4,57.0,4.64,4.61,2.54
4,0.7,Ideal,E,VS1,62.3,54.0,5.67,5.72,3.55
5,0.3,Premium,I,VVS2,61.7,58.0,4.28,4.37,2.67
6,0.52,Premium,E,SI1,59.0,59.0,5.3,5.21,3.1
7,0.32,Ideal,G,VVS1,61.9,56.0,4.39,4.4,2.72
8,1.51,Good,F,SI2,62.9,55.0,7.22,7.28,4.56
9,0.42,Ideal,J,VS2,61.3,57.0,4.79,4.86,2.96
10,0.32,Ideal,G,VS1,61.3,55.0,4.42,4.46,2.72
11,0.71,Very Good,D,VVS2,62.7,59.0,5.64,5.69,3.55
12,1.0,Ideal,E,SI1,62.2,53.9,6.4,6.5,4.0
13,1.5,Ideal,I,VS1,60.5,56.0,7.38,7.46,4.49
14,0.31,Ideal,H,VVS1,61.6,55.0,4.35,4.38,2.69
15,1.01,Good,G,VVS2,58.2,55.0,6.65,6.68,3.88
16,1.27,Very Good,I,VS1,60.6,59.0,7.04,6.96,4.24
17,1.23,Premium,J,VS1,60.1,60.0,6.95,6.9,4.16
18,1.52,Ideal,J,VS1,62.8,54.3,7.32,7.35,4.61
19,0.62,Fair,F,VS1,60.0,64.0,5.69,5.48,3.36
20,0.32,Ideal,I,VS2,61.6,56.0,4.37,4.39,2.7
21,0.32,Ideal,G,VVS2,61.4,55.0,4.4,4.43,2.71
22,0.96,Good,J,VS2,63.9,58.0,6.27,6.21,3.99
23,0.76,Ideal,G,SI2,62.7,56.0,5.81,5.86,3.66
24,0.42,Premium,G,VS1,59.4,59.0,4.9,4.86,2.9
25,1.03,Ideal,H,I1,61.5,57.0,6.52,6.48,4.0
26,0.27,Premium,G,VS2,62.4,59.0,4.13,4.11,2.57
27,0.56,Premium,H,VVS2,59.8,57.0,5.48,5.39,3.25
28,0.4,Premium,G,VVS2,59.7,58.0,4.78,4.8,2.86
29,0.24,Good,E,VVS1,58.0,60.0,4.08,4.12,2.38
30,1.24,Premium,H,SI2,59.9,60.0,7.02,7.0,4.2
31,1.0,Premium,G,VS2,61.6,58.0,6.44,6.42,3.96
