id,carat,cut,color,clarity,depth,table,x,y,z,price
0,1.12,Premium,H,SI1,61.6,59.0,6.67,6.63,4.1,5363
1,1.14,Very Good,E,SI2,60.0,54.0,6.74,6.97,4.11,5593
2,0.9,Very Good,D,SI2,60.3,63.0,6.12,6.22,3.72,3534
3,0.71,Ideal,E,VS1,61.9,54.0,5.74,5.76,3.56,3212
4,0.34,Very Good,F,SI2,60.0,62.0,4.51,4.55,2.72,447
5,0.33,Very Good,E,VS2,63.1,57.0,4.38,4.43,2.78,672
6,0.55,Premium,I,VVS1,61.3,59.0,5.27,5.3,3.24,1593
7,1.19,Premium,D,SI2,58.8,58.0,7.04,6.9,4.1,5504
8,0.41,Premium,E,VS1,60.4,58.0,4.78,4.82,2.9,1079
9,0.3,Premium,G,SI2,62.5,59.0,4.27,4.31,2.68,394
10,0.7,Very Good,D,SI1,59.4,63.0,5.76,5.78,3.43,2604
11,0.31,Ideal,I,VS2,62.0,54.0,4.37,4.4,2.72,452
12,1.08,Very Good,E,SI2,62.9,59.0,6.44,6.53,4.08,5018
13,0.48,Ideal,H,VVS2,62.5,56.0,4.98,5.02,3.12,1590
14,0.31,Ideal,F,VS1,61.2,56.0,4.4,4.42,2.7,821
15,1.16,Premium,F,SI2,62.4,59.0,6.72,6.64,4.17,5164
16,0.78,Very Good,E,VS1,60.0,56.0,6.0,6.03,3.61,3601
17,1.01,Good,G,SI2,64.5,61.0,6.24,6.31,4.05,3895
18,1.1,Ideal,H,SI2,62.0,56.5,6.58,6.63,4.09,5002
19,2.2,Premium,J,VS1,61.7,59.0,8.34,8.3,5.13,15201
20,0.51,Ideal,G,VS1,60.2,56.0,5.2,5.24,3.14,1852
21,0.72,Ideal,I,VVS2,61.6,57.0,5.73,5.76,3.54,2602
22,1.0,Ideal,E,VS2,62.1,56.0,6.42,6.39,3.98,6720
23,0.31,Very Good,I,SI1,63.3,53.0,4.32,4.3,2.73,523
24,0.33,Premium,D,SI1,60.1,59.0,4.49,4.46,2.69,780
25,0.52,Ideal,E,VS2,61.7,56.0,5.13,5.18,3.18,1708
26,1.21,Ideal,D,SI1,63.0,57.0,6.82,6.76,4.28,7589
27,1.52,Ideal,F,SI2,61.8,58.0,7.38,7.4,4.57,10316
28,0.35,Ideal,G,VVS2,62.1,56.0,4.47,4.51,2.79,798
29,1.06,Ideal,I,SI1,61.2,56.0,6.6,6.57,4.03,4749
30,1.6,Premium,I,SI2,60.8,58.0,7.59,7.51,4.59,8630
31,1.09,Ideal,H,SI1,62.4,55.0,6.59,6.68,4.14,4784
32,0.53,Ideal,G,VS1,62.7,55.0,5.16,5.18,3.24,1721
33,0.32,Ideal,D,SI2,59.8,57.0,4.46,4.4,2.65,612
34,1.2,Very Good,F,SI1,63.5,57.0,6.65,6.74,4.25,6872
35,0.91,Good,D,SI2,64.7,57.0,6.02,6.04,3.9,3763
36,1.01,Ideal,J,VS1,61.2,57.0,6.45,6.49,3.96,4693
37,0.32,Ideal,I,VVS2,61.5,56.0,4.4,4.42,2.71,561
38,0.77,Premium,H,SI1,60.7,58.0,5.95,5.91,3.6,2369
39,0.72,Very Good,E,SI1,60.0,57.0,5.8,5.84,3.49,2479
40,0.33,Premium,G,SI1,62.3,59.0,4.39,4.44,2.75,492
41,0.32,Very Good,E,VVS2,61.6,54.0,4.43,4.46,2.74,816
42,0.38,Ideal,H,VVS2,62.1,54.0,4.62,4.66,2.88,898
43,0.9,Very Good,D,SI1,64.2,55.0,6.09,6.16,3.93,4523
44,1.33,Premium,H,VS2,60.7,59.0,7.08,7.13,4.31,7982
45,0.82,Ideal,G,SI2,61.6,56.0,5.98,6.04,3.7,2692
46,0.34,Ideal,H,VVS2,61.4,56.0,4.48,4.51,2.76,852
47,1.51,Good,G,SI1,63.1,56.0,7.2,7.28,4.57,9258
48,0.7,Premium,F,VS2,62.2,59.0,5.68,5.64,3.52,2648
49,0.32,Ideal,H,VVS1,61.3,57.0,4.41,4.43,2.71,821
50,0.57,Premium,I,SI2,62.1,57.0,5.33,5.29,3.3,1097
51,1.02,Good,F,SI1,64.3,58.0,6.28,6.32,4.05,4936
52,0.9,Ideal,H,SI1,62.8,57.0,6.16,6.14,3.86,3629
53,1.1,Very Good,H,VVS2,59.7,57.8,6.7,6.76,4.01,6497
54,0.7,Good,E,VS2,59.2,64.0,5.8,5.75,3.42,2559
55,0.63,Very Good,F,VS1,59.2,57.0,5.56,5.66,3.32,2149
56,0.72,Ideal,F,VS1,61.7,56.0,5.75,5.78,3.56,3759
57,1.03,Ideal,D,SI1,59.9,57.0,6.61,6.68,3.98,6460
58,0.58,Very Good,H,VS2,61.2,55.8,5.39,5.41,3.3,1633
